provincia,municipio,id,link_2,"1869 total","1869 hombres","1869 mujeres","1881 total","1881 hombres","1881 mujeres","1895 total","1895 hombres","1895 mujeres","1914 total","1914 hombres","1914 mujeres","1947 total","1947 homres","1947 mujeres","1960 total","1960 hombres","1960 mujeres","1970 total","1970 hombres","1970 mujeres","1980 total","1980 hombres","1980 mujeres","1991 total","1991 hombres","1991 mujeres","2001 total","2001 hombres","2001 mujeres","2010 total","2010 hombres","2010 mujeres"
"Buenos Aires","Coronel Pringles",31,31,,,,,,,6499,3716,2783,14114,7810,6304,21780,11488,10292,23048,12109,10939,21629,10612,11017,22068,11044,11024,22905,11387,11518,23794,11674,12120,22933,11115,11818
"Buenos Aires","Coronel Suárez",32,32,,,,,,,4798,2844,1954,18654,10108,8546,30645,15968,14677,30211,15565,14646,30961,15470,15491,32354,16276,16078,35710,17837,17873,36828,18138,18690,38320,18752,19568
"Buenos Aires",Daireaux,33,33,,,,,,,,,,7382,4521,2861,12833,7169,5664,12075,6405,5670,12247,6439,5808,13716,7010,6706,14694,7388,7306,15857,7853,8004,16889,8402,8487
"Buenos Aires",Dolores,34,34,7203,3473,3730,10619,5520,5099,15126,7779,7347,15643,7798,7845,19782,9731,10051,20642,10110,10532,20749,10178,10571,23261,11444,11817,24306,11873,12433,25216,12190,13026,27042,13061,13981
"Buenos Aires",Ensenada,35,35,,,,,,,,,,,,,,,,35206,13288,12798,39154,20389,18765,41323,20784,20539,48237,24047,24190,51448,25135,26313,56729,27790,28939
"Buenos Aires",Escobar,36,36,,,,,,,,,,,,,,,,28386,14784,13602,46150,23734,22416,81385,41432,39953,128421,64131,64290,178155,88398,89757,213619,106017,107602
"Buenos Aires","Esteban Echeverría",37,37,,,,,,,,,,5047,2907,2140,19068,10934,8134,69730,35670,34060,111150,56689,54461,188923,95257,93666,275793,136784,139009,243974,120110,123864,300959,147980,152979
"Buenos Aires","Exaltación de La Cruz",38,38,3970,1943,2027,6299,3373,2926,6753,3964,2789,8588,4760,3828,8609,4674,3935,9926,5224,4702,10630,5574,5056,12859,6682,6177,17072,8753,8319,24167,12141,12026,29805,14923,14882
"Buenos Aires",Ezeiza,39,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,118807,59337,59470,163722,81902,81820
"Buenos Aires","Florencio Varela",40,40,,,,,,,2491,1412,1079,5174,3009,2165,10480,5764,4716,41707,21587,20120,98446,50493,47953,173452,87725,85727,254997,127717,127280,348970,174590,174380,426005,212909,213096
"Buenos Aires","Florentino Ameghino",41,41,,,,,,,,,,,,,,,,,,,,,,,,,7516,3849,3667,8171,4114,4057,8869,4419,4450
"Buenos Aires","General Alvarado",42,42,,,,,,,2208,1275,933,4899,3066,1833,12694,7213,5481,19015,10510,8505,21903,11351,10552,25643,13234,12409,30385,15412,14973,34391,16904,17487,39594,19404,20190
"Buenos Aires","General Alvear",43,43,,,,4696,2790,1906,4091,2184,1907,6053,3305,2748,8805,4705,4100,8024,4141,3883,7979,4118,3861,8123,4117,4006,8241,4173,4068,10897,6309,4588,11130,6280,4850
"Buenos Aires","General Arenales",44,44,,,,,,,1469,927,542,8422,5447,2975,22190,13341,8849,15448,8327,7121,14946,7869,7077,15210,7763,7447,15102,7696,7406,14876,7329,7547,14903,7268,7635
